alpha,beta_temp,beta_omega,beta_clean,sigma
1.2276180875935268,0.0561277960094903,-1.80342874308527,0.08574713726664426,0.6429210215158917
1.2013400053499252,0.055823368648639925,-1.7221307766655478,0.08010436274729893,0.6344438062627434
1.2675716926147027,0.05529682826285342,-1.7358939652003045,0.08108816370447171,0.6377390938819677
1.2582658289472426,0.05579351360254833,-1.8155542630477939,0.07866029792548115,0.6168226304678444
1.250993622559159,0.05581857617471253,-1.7710376625597064,0.07735149980925667,0.6186243067913232
1.2409528244732826,0.05606543070619018,-1.7836718401189486,0.08341617983809416,0.6270513408651935
1.364517024860172,0.056380887611235386,-1.962266302570658,0.12706065835216973,0.6283483965118968
1.1684874914143866,0.05589255378222452,-1.6924878008721898,0.0493060737944356,0.6580278031522636
1.0987622916950273,0.05577152043772802,-1.584417639862373,0.05936729062057031,0.6345516201539451
1.2938612654281485,0.05596816491426922,-1.8614813986159398,0.04584811120571966,0.6550260987765476
1.3550750777507234,0.05523105137781874,-1.9394247009594814,0.07316716333623235,0.6477228831319661
1.0909925805379528,0.057449846192627704,-1.785365869629402,0.11199814329568777,0.6519851508448072
1.1955336414142559,0.05648682807696402,-1.7458416979793228,0.10702149659524948,0.6433517299257224
1.2328514542410764,0.05628342229416115,-1.8070366330312062,0.08054276222488015,0.6459273022343783
1.2045017737673245,0.056178866667307065,-1.8136748712946087,0.07982117370508002,0.6475193294616084
1.2104895213784908,0.056725576791074754,-1.828147450171933,0.09411491984439549,0.6534914796123055
1.4724155885047423,0.055594882333702904,-2.0116478920792,0.08951854493431838,0.6382406779612995
1.3152740878334637,0.05578458826855754,-1.8621654487329415,0.07183566061475001,0.6477743683250764
1.2394675603081506,0.05547409863610572,-1.7207411213766584,0.09926972171430613,0.6601381912131135
1.2333609824026972,0.05617178071002125,-1.811872596421825,0.0759141806909069,0.6823432173727747
1.1695452837808509,0.05658624590086843,-1.7298128587512807,0.07820720400106777,0.6685510038712055
1.2566305757549168,0.05579097048082763,-1.848096110867779,0.07513069440457774,0.6254664566486962
1.306755482884982,0.055680514305760424,-1.8848862361138643,0.08003667195813126,0.614353763657884
1.305381392550644,0.056939049420022515,-1.9894276581702748,0.09911052926135235,0.6580987136271288
1.2061494338394787,0.05669823114303227,-1.7915613676970708,0.08042354755018809,0.6525802532626084
1.211802274142863,0.055919329826404324,-1.7177590386496036,0.10044562421377247,0.6268930333085372
1.1653070704223187,0.055946788659271295,-1.6971158660430383,0.09602748182397212,0.6330433230986611
1.1110514402010314,0.05558030531868438,-1.5277665081454046,0.09924228226621898,0.62103250373807
1.0870135850060658,0.05587503352769973,-1.557490931275975,0.06615428172546904,0.6410929051209711
1.1131126514658118,0.05613374665707175,-1.673979948009407,0.07148704345418931,0.6559298606915117
1.157367604539232,0.056052267280941565,-1.6916100294625878,0.07338870256640843,0.6680806438053072
1.3010177766890754,0.05506004290455717,-1.7183792663908122,0.11002872362483669,0.6374113324139438
1.3587889408270408,0.056647278958197204,-2.0280911472258865,0.07285094889028762,0.627593884536222
1.3125145507390943,0.05536063791497488,-1.7849127283205846,0.09131361248557499,0.6499005430735959
1.035596160293851,0.05695757219602642,-1.6469010586193278,0.07736508707510648,0.6411092297432098
1.4765609999544758,0.05639333348070413,-2.068890960097125,0.0911702902251663,0.6253944692160999
1.1809188305002445,0.05618848866375682,-1.7951221862243685,0.08274111992142871,0.6304625145502317
1.1431914635755571,0.05670458523465418,-1.7110851018618831,0.06501761415012827,0.6646032152977353
1.4478456593739926,0.055126370158515604,-1.9573285185432674,0.05601735129343702,0.6236436851683873
1.3692977739463832,0.055290282088408346,-1.9395526652657793,0.07000871496676993,0.6475121223809406
1.2919933538918407,0.05603614908292294,-1.8289872186157936,0.06474344444353879,0.6453277405497788
1.303233813059734,0.05605003177796986,-1.8776146453407492,0.0640064111840824,0.635105901156404
1.2135781329673911,0.05644749063579279,-1.8129212499096354,0.1045514678243626,0.6554973438856068
1.2590293345895416,0.0566133204040215,-1.8046525439639218,0.1051046697230388,0.6555656442064995
1.3097745152621596,0.05577148828313017,-1.8235360147952164,0.06700764641680637,0.6420251490163107
1.2097409346834562,0.0562057828925704,-1.8139237591765784,0.08137693997715868,0.6418941374422115
1.2146881879573985,0.055420717455159134,-1.7082661632030103,0.07749990462263363,0.634212161714093
1.4571514216534303,0.056380194812907236,-2.097476219181992,0.07825394892936147,0.6428515427722995
1.2658452358541494,0.05589127026331936,-1.7991336850057316,0.07552326502598412,0.6571494817968961
1.2127758140019036,0.056102539996521435,-1.7923954185377937,0.09059626304377423,0.6461129871776361
1.177437728692574,0.05565394804079759,-1.6473142873310955,0.10655303900293474,0.615240616940296
1.0927004456242138,0.05620043004733381,-1.667313401410194,0.07397818260250157,0.6537642665959472
1.1780306407530061,0.055743016569158,-1.6310194212681566,0.09963302885584023,0.6430597957268368
1.1003264794389553,0.05615732689314229,-1.5907576228522338,0.07365062582414818,0.6546074200144725
1.4486149142968419,0.05596030976737447,-2.021680143503609,0.06452234128064097,0.6383102133454144
1.440689826737378,0.05613830044524962,-2.032892204551704,0.06830854744863722,0.6548733061118688
1.2151632441669882,0.05663420760935874,-1.859577952044674,0.06859544542008437,0.6466014546883678
1.3063394244299669,0.05550090258211156,-1.844175067611257,0.07012749178084383,0.6118826006052193
1.3756464854359989,0.05617540048730358,-2.052300437765208,0.0683772485239851,0.6746607191416785
1.1967910463648128,0.05589251358923631,-1.7632902462114046,0.08096281826669408,0.6347108029751081
1.3312618025433427,0.056176534576266555,-1.9498586837370482,0.09236499244247884,0.6313796738872927
1.2132883551674136,0.05610181509327583,-1.819461403373829,0.0848640662121111,0.6196729042262673
1.1191228395756017,0.057098885953358,-1.7775018990916536,0.09970113636068875,0.6300888796573088
1.3992690605219447,0.05566573536529387,-1.9878119859635142,0.07730076827006713,0.6525286370850037
1.3876888858688448,0.05560452816842541,-1.9674564403231685,0.07424922303634451,0.6372655133618655
1.3089767989120213,0.056254890510319074,-1.9209524601521615,0.08948235437015985,0.6553237802706269
1.3915263566314062,0.05500913356679851,-1.877318318852133,0.06268293548525275,0.6488337797100571
1.2706471772230483,0.05568601113072967,-1.7888273530395722,0.0709241561486178,0.6520449363000932
1.2284116370622362,0.05634715730649322,-1.8235962431213082,0.07046299379724567,0.6471146629784805
1.3578804514304161,0.056040027384090293,-1.9258096716618454,0.08919737308124112,0.6123649409265883
1.3148290904797055,0.05637657745394176,-1.88396017912045,0.09571051992963113,0.6623239252305149
1.2151996846386848,0.056203960384446194,-1.7606646816953244,0.08306425264016493,0.6305210796307078
1.1723545534784219,0.05618448171817151,-1.763203240948144,0.06987173822379494,0.632333893182831
1.205695937003975,0.056269283514920235,-1.7550288146698563,0.11098064229195181,0.6610300131674056
1.2863926253050368,0.05551174904711975,-1.813742169526936,0.07232155844382172,0.60398900580715
