alpha,beta_temp,beta_omega,beta_clean,sigma
0.7819791986245952,0.05580509077827071,-1.2441541095540778,0.11912271770794862,0.6537001317799331
0.604191828838197,0.056531953194654816,-1.127947927234782,0.09383579400062755,0.6260752414168179
0.9075298891763893,0.05689396977895361,-1.5178277587747324,0.11593156101203828,0.6355485268837805
0.8931620177629436,0.056570429656340966,-1.506777839156431,0.11295379681058959,0.6312819490201929
0.9400393967126661,0.05646542951130692,-1.5571941347742744,0.13037939713358043,0.6366958991565606
0.8555214283131729,0.05644551082025866,-1.413248890081114,0.12768178882651735,0.6409170714060883
0.8680357012104924,0.05670397290887766,-1.4308583624043827,0.11956512792721471,0.6434557329948403
0.853243156278338,0.0569347919018617,-1.5303825122845822,0.09053397839745105,0.6264858088656274
0.6907125520889983,0.05713851503410044,-1.293335392313022,0.09680158715942715,0.6316011407853234
0.8518615812622848,0.05681862821433236,-1.4915099099932405,0.1198124396065265,0.6340835892258552
0.8941326789340246,0.05685350868144249,-1.4509254080020604,0.1214203819526302,0.632820164166743
0.7899896738680525,0.056157386546586245,-1.3359232930344405,0.10367770674683707,0.6038401018620027
0.8883231275108777,0.0565478350054887,-1.4703228771699948,0.09477212106219175,0.6263861735528886
0.9007540880485059,0.05698599553951255,-1.5371023448876855,0.11253632500481978,0.6334504056926162
0.8966686250754846,0.05715713564355482,-1.543125754226331,0.10567320203569427,0.6251485335230411
0.8901615730428847,0.05722499701337318,-1.5897468302159403,0.10533181539641834,0.6557926776067724
0.8663728575191555,0.056809859186953165,-1.5184237333858164,0.09987988767791456,0.6713647419767023
0.9202435449779033,0.056451602602022324,-1.5372803435474474,0.10341233268400286,0.6542258516295398
0.8589082897018588,0.05673098118856103,-1.4989258408117117,0.09452967965612184,0.630481441948559
0.7212652202336818,0.05661396157240953,-1.3155326513620516,0.08966247481083099,0.6522493949012859
0.8196025276979291,0.0565922711920395,-1.4168948923053222,0.11460277620795202,0.6015648375618814
0.8698687143801931,0.05725435847312313,-1.5104907094586935,0.093834190507055,0.649521257379608
0.8588638142255463,0.05710151882224213,-1.52688985135703,0.10343059494174991,0.641640916264104
0.8709384562762869,0.057168845847063623,-1.5567180766030084,0.10204811437009995,0.6473500430167207
0.6298013047800882,0.05684547157596551,-1.1902346298077973,0.10860585144477497,0.6017658363487087
0.8175091602255,0.057915274518583124,-1.575311103119489,0.10767718753800772,0.6515147407972222
0.709236028247688,0.05618736369994618,-1.190248087344969,0.10761921732176528,0.6158789381222216
0.6823911846607082,0.05678659846764852,-1.305055367873507,0.08510422587554133,0.6252125271842461
0.85276124296415,0.05588124235285471,-1.33253167174583,0.10907520473441253,0.6333537692454126
0.8056475924763699,0.0561046856301018,-1.3456644019065358,0.10350828785745357,0.6287446030835875
0.7584502157047978,0.05596601349284635,-1.294982593492545,0.08426227715842373,0.6390762668356883
0.9755131621154307,0.05668535498497209,-1.6095763247567199,0.10766420414000169,0.6288521512734431
0.9169814052531324,0.05581334922805937,-1.4566895608607844,0.08115226042120416,0.6282934654156329
0.9282109362592024,0.05594597029321517,-1.5011935395251577,0.08269488544584752,0.6271115481861506
0.939613048604782,0.05626969617711694,-1.5844011060162728,0.07618932882275183,0.6277872142174022
0.8167182076202798,0.05750547173159483,-1.4960441673922453,0.1153842310314305,0.6391597080432226
0.8996777187177998,0.05558654736807406,-1.415294594921324,0.08268543740947835,0.6625110015059416
0.945707108474012,0.05688432340252891,-1.6801235245578852,0.07624730113259702,0.5929672165358826
0.9852140654127675,0.056886630982289646,-1.6861791857304596,0.07754153337537571,0.6025284268952614
0.8737436279225315,0.055901524438198416,-1.4031754099559066,0.118812804267225,0.6502046972736899
0.923261348248872,0.05671458300323692,-1.6326170719367141,0.07019293599616172,0.6222668694235579
0.9546940906047545,0.0568282700639215,-1.6513274730299727,0.062250236349700026,0.6444536992822746
0.9670375673512136,0.05672235314399033,-1.641860134331342,0.06390630967080181,0.64078243487438
1.0116287217597129,0.05698570514866244,-1.7457799075310092,0.06967804494275529,0.6501414177455527
1.0504845814616925,0.0559318132642635,-1.6372291684878313,0.07817641096466237,0.6356371640387121
1.011621885665117,0.056265554174337803,-1.5749479006135267,0.1092509787478622,0.6707758931146923
0.8022353784727918,0.056218513485052794,-1.3716501949511581,0.11325781085277441,0.6597210468995216
0.8740965663924593,0.05612340032931928,-1.421844327132039,0.10772080845658694,0.6370716484398371
0.9265310566253412,0.05599668790362103,-1.4776187688525724,0.11202243197627546,0.6284489568652377
0.9920484508527909,0.0563760949417571,-1.587396955471437,0.09021355824258974,0.626355118258675
0.8857787565139315,0.05604217513991327,-1.4428843707025472,0.10432358860684683,0.6556234069917347
0.9774697138699396,0.05575166751950649,-1.4808409206416897,0.10878024035222839,0.6123966521436067
0.8118489122082962,0.05666442546474345,-1.4200774827950013,0.06653550336584164,0.65433342044559
0.8094940158136338,0.05597861829057685,-1.2858160211068004,0.131113066666595,0.6121684997764505
